РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Алтайский край,Ключи,,Судебный участок Ключевского района Алтайского края,мировой,Мировой суд,"658980, Алтайский край, с Ключи, ул Урицкого, д 5",https://klrn.alt.msudrf.ru/,klrn.alt.msudrf.ru,нет,22MS0069
Алтайский край,Косиха,,Судебный участок Косихинского района Алтайского края,мировой,Мировой суд,"659820, Алтайский край, с Косиха, ул Комсомольская, д 1А",https://ksxrn.alt.msudrf.ru/,ksxrn.alt.msudrf.ru,нет,22MS0070
Алтайский край,Красногорское,,Судебный участок Красногорского района Алтайского края,мировой,Мировой суд,"659500, Алтайский край, с Красногорское, ул Советская, влд 85",https://kragrn.alt.msudrf.ru/,kragrn.alt.msudrf.ru,нет,22MS0071
Алтайский край,Краснощёково,,Судебный участок Краснощековского района Алтайского края,мировой,Мировой суд,"658340, Алтайский край, с Краснощёково, ул Садовая, зд 24",https://kraw.alt.msudrf.ru/,kraw.alt.msudrf.ru,нет,22MS0072
Алтайский край,Крутиха,,Судебный участок Крутихинского района Алтайского края,мировой,Мировой суд,"658750, Алтайский край, с Крутиха, ул Ленинградская, влд 35",https://krurn.alt.msudrf.ru/,krurn.alt.msudrf.ru,нет,22MS0073
Алтайский край,Кулунда,,Судебный участок Кулундинского района Алтайского края,мировой,Мировой суд,"658920, Алтайский край, Кулундинский р-н, с Кулунда, ул Советская, д 32",https://kulrn.alt.msudrf.ru/,kulrn.alt.msudrf.ru,нет,22MS0074
Алтайский край,Курья,,Судебный участок Курьинского района Алтайского края,мировой,Мировой суд,"658320, Алтайский край, с Курья, ул Центральная, влд 86",https://kurrn.alt.msudrf.ru/,kurrn.alt.msudrf.ru,нет,22MS0076
Алтайский край,Кытманово,,Судебный участок Кытмановского района Алтайского края,мировой,Мировой суд,"659240, Алтайский край, с Кытманово, пер Садовый, влд 8",https://ktmrn.alt.msudrf.ru/,ktmrn.alt.msudrf.ru,нет,22MS0077
Алтайский край,Мамонтово,,Судебный участок Мамонтовского района Алтайского края,мировой,Мировой суд,"658560, Алтайский край, с Мамонтово, ул Партизанская, зд 125",https://mam1.alt.msudrf.ru/,mam1.alt.msudrf.ru,нет,22MS0080
Алтайский край,Михайловское,,Судебный участок Михайловского района Алтайского края,мировой,Мировой суд,"658960, Алтайский край, с Михайловское, пр-кт Октябрьский, зд 3",https://mix.alt.msudrf.ru/,mix.alt.msudrf.ru,нет,22MS0082
Алтайский край,Новичиха,,Судебный участок Новичихинского района Алтайского края,мировой,Мировой суд,"659730, Алтайский край, с Новичиха, ул Ленинская, влд 22",https://nvchrn.alt.msudrf.ru/,nvchrn.alt.msudrf.ru,нет,22MS0085
Алтайский край,Новоалтайск,,Судебный участок № 1 Первомайского района Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://perv1.alt.msudrf.ru/,perv1.alt.msudrf.ru,нет,22MS0093
Алтайский край,Новоалтайск,,Судебный участок № 1 г. Новоалтайска Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://nalt1.alt.msudrf.ru/,nalt1.alt.msudrf.ru,нет,22MS0086
Алтайский край,Новоалтайск,,Судебный участок № 2 Первомайского района Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://perv2.alt.msudrf.ru/,perv2.alt.msudrf.ru,нет,22MS0094
Алтайский край,Новоалтайск,,Судебный участок № 2 г. Новоалтайска Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://nalt2.alt.msudrf.ru/,nalt2.alt.msudrf.ru,нет,22MS0087
Алтайский край,Новоалтайск,,Судебный участок № 3 Первомайского района Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://perv3.alt.msudrf.ru/,perv3.alt.msudrf.ru,нет,22MS0095
Алтайский край,Новоалтайск,,Судебный участок № 3 г. Новоалтайска Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://nalt3.alt.msudrf.ru/,nalt3.alt.msudrf.ru,нет,22MS0088
Алтайский край,Новоалтайск,,Судебный участок № 4 г. Новоалтайска Алтайского края,мировой,Мировой суд,"658080, Алтайский край, г Новоалтайск, ул Хлебозаводская, влд 12",https://nalt4.alt.msudrf.ru/,nalt4.alt.msudrf.ru,нет,22MS0089
Алтайский край,Новоегорьевское,,Судебный участок Егорьевского района Алтайского края,мировой,Мировой суд,"658280, Алтайский край, с Новоегорьевское, ул Машинцева, влд 13",https://egrn.alt.msudrf.ru/,egrn.alt.msudrf.ru,нет,22MS0055
Алтайский край,Павловск,,Судебный участок № 1 Павловского района Алтайского края,мировой,Мировой суд,"659000, Алтайский край, с Павловск, ул Ленина, д 32А",https://pav1.alt.msudrf.ru/,pav1.alt.msudrf.ru,нет,22MS0090
Алтайский край,Павловск,,Судебный участок № 2 Павловского района Алтайского края,мировой,Мировой суд,"659000, Алтайский край, с Павловск, ул Ленина, д 32А",https://pav2.alt.msudrf.ru/,pav2.alt.msudrf.ru,нет,22MS0091
Алтайский край,Панкрушиха,,Судебный участок Панкрушихинского района Алтайского края,мировой,Мировой суд,"658760, Алтайский край, с Панкрушиха, ул Ленина, влд 19",https://pankrn.alt.msudrf.ru/,pankrn.alt.msudrf.ru,нет,22MS0092
Алтайский край,Петропавловское,,Судебный участок Петропавловского района Алтайского края,мировой,Мировой суд,"659660, Алтайский край, с Петропавловское, ул Ленина, д 81А",https://ppav1.alt.msudrf.ru/,ppav1.alt.msudrf.ru,нет,22MS0096
